Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number
0.002376952,1.608763111,1152.32,0.06763525,0.009137186,600,25,482.2510947,104.810469
0.002312262,0.537698037,1152.158,0.067599618,0.009047234,600,6,158.3330694,11.39414293
0.002325901,0.992862407,1151.51,0.067458438,0.008696196,100,25,305.786823,39.1382031
0.002513073,1.220822109,997.2375,0.07246,0.000943923,100,6,3241.302463,51.5478052
0.002324117,0.950915846,1199.0776,0.06687776,0.036108771,800,6,73.38962275,37.67972528
0.002315112,0.953377027,1230.6815,0.06577659,0.152918067,50,6,17.76329312,39.37092431
0.00223096,1.699502327,1199.7586,0.06696036,0.037690117,50,25,120.6923777,115.4546202
0.002460401,0.516979246,1045.03695,0.071056233,0.001583772,600,6,839.3014816,9.671226665
0.002293603,1.250770438,1152.32,0.06763525,0.009137186,50,25,361.7900042,61.13269121
0.002308054,0.942206595,1230.6815,0.06577659,0.152918067,100,6,17.50165195,38.33651484
0.002325492,0.517318092,1152.266,0.067623358,0.009107103,100,6,152.2106399,10.60440202
0.002470596,1.605391799,1044.68,0.070939,0.001548471,600,25,2675.857077,93.76958403
0.00251258,1.600237714,1044.68,0.070939,0.001548471,600,6,2712.59262,94.7517225
0.002278602,0.565818568,1199.7586,0.06696036,0.037690117,100,25,41.04045078,13.07070544
0.002465925,1.456511626,997.2375,0.07246,0.000943923,400,25,3794.511837,71.99595575
0.002354773,1.576134979,1230.1775,0.06569099,0.1463243,600,6,31.20282183,109.5463537
0.002309002,0.519866418,1230.239625,0.065701673,0.147132715,100,6,10.03683058,11.68479722
0.002439372,1.251641489,1045.16375,0.071097813,0.001596807,400,25,1998.434146,56.1779681
0.002306244,1.631782152,1230.239625,0.065701673,0.147132715,200,25,31.46645429,114.985429
0.00232116,1.186711807,1230.302,0.06571236,0.147945596,400,6,22.90656557,61.20123968
0.002551548,0.912285663,997.2375,0.07246,0.000943923,100,6,2459.215669,29.22575241
