Sample,Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number,Contact time [s],Rebound efficiency,Spreading coefficient,Lamella velocity [m/s]
D50,0.002351266,0.952618157,1045.5042,0.07120927,0.00163321,50,25,1433.852202,31.32771541,0.0118,0.24277762,2.099811401,1.178481013
D50,0.002372338,1.0085816,1045.5042,0.07120927,0.00163321,50,25,1531.691524,35.4313608,0.0118,0.215841425,2.091618493,1.209493671
D100,0.002420373,0.995665946,1045.4432,0.07118932,0.00162653,100,25,1548.939203,35.23670414,0.0118,0.206496614,2.060357876,1.116455696
D100,0.002406532,1.001488713,1045.4432,0.07118932,0.00162653,100,25,1549.087566,35.44616723,0.0118,0.202557973,2.051589607,1.147468354
D100,0.002416444,0.993799167,1045.4432,0.07118932,0.00162653,100,25,1543.525185,35.04770649,0.012,0.203172781,2.058574592,1.240506329
D100,0.002417052,0.989851808,1045.4432,0.07118932,0.00162653,100,25,1537.781174,34.77859038,0.012,0.206904499,2.052924413,0.992405063
D100,0.00240877,0.991532218,1045.4432,0.07118932,0.00162653,100,25,1535.113249,34.77719136,0.012,0.204053231,2.049683521,1.116455696
D200,0.002423892,0.982229254,1045.3818,0.07116923,0.001619878,200,25,1536.451759,34.34960201,0.0122,0.21050381,2.057366791,1.085443038
D200,0.002434298,0.985685783,1045.3818,0.07116923,0.001619878,200,25,1548.477515,34.74027977,0.012,0.212786698,2.058764596,1.178481013
D200,0.002417538,0.988848344,1045.3818,0.07116923,0.001619878,200,25,1542.750989,34.722856,0.012,0.206317458,2.057642712,1.085443038
D200,0.00242781,0.990296617,1045.3818,0.07116923,0.001619878,200,25,1551.574607,34.97259629,0.012,0.206677503,2.069375924,1.240506329
D200,0.002431116,0.994747436,1045.3818,0.07116923,0.001619878,200,25,1560.670744,35.33572721,0.012,0.20615505,2.056356092,1.05443038
D400,0.002434821,0.982728158,1045.3818,0.07116923,0.001619878,400,25,1544.162951,34.5395316,0.0122,0.201863698,2.0430377,1.209493671
D400,0.002424054,0.947217171,1045.3818,0.07116923,0.001619878,400,25,1481.782942,31.94655768,0.0124,0.215248173,2.067464556,1.116455696
D400,0.002437555,0.984121399,1045.3818,0.07116923,0.001619878,400,25,1548.088827,34.67643698,0.0124,0.19823967,2.05092407,1.085443038
D400,0.002431156,0.966902877,1045.3818,0.07116923,0.001619878,400,25,1517.010237,33.38576094,0.0124,0.209899218,2.046116935,1.085443038
D400,0.002438238,0.978293012,1045.3818,0.07116923,0.001619878,400,25,1539.351678,34.27651949,0.0124,0.203972126,2.040174013,1.116455696
D600,0.002461711,0.9566479,1045.32,0.071149,0.001613252,600,25,1525.935228,33.09951934,0.0132,0.190323618,2.030799499,1.085443038
D600,0.002463421,0.953561648,1045.32,0.071149,0.001613252,600,25,1522.069342,32.90915106,0.0144,0.169665531,2.029389278,0.992405063
D600,0.002467951,0.958545824,1045.32,0.071149,0.001613252,600,25,1532.838283,33.31521983,0.0138,0.164811838,2.035717652,1.085443038
D600,0.002453738,0.964123881,1045.32,0.071149,0.001613252,600,25,1532.879767,33.50999766,0.0144,0.14998983,2.032341943,1.05443038
D600,0.002464177,0.957527943,1045.32,0.071149,0.001613252,600,25,1528.86905,33.19366532,0.0202,0.086223387,2.038835416,1.116455696
D800,0.002474452,0.944639722,1045.32,0.071149,0.001613252,800,25,1514.58012,32.44082732,0.0152,0.172180439,2.00530262,1.085443038
D800,0.002475442,0.930807443,1045.32,0.071149,0.001613252,800,25,1492.999094,31.51032315,0.0158,0.152846709,2.009512232,1.178481013
D800,0.002456731,0.915986828,1045.32,0.071149,0.001613252,800,25,1458.121868,30.2842287,0.0146,0.177231181,2.00461922,0.992405063
D800,0.002472115,0.938603442,1045.32,0.071149,0.001613252,800,25,1503.480603,31.99730768,0.0144,0.171262975,2.017234302,1.085443038
D800,0.002465925,0.915625235,1045.32,0.071149,0.001613252,800,25,1463.001145,30.37357312,0.0136,0.191843271,2.007206069,1.085443038
S50,0.002444939,0.95757086,1045.5042,0.07120927,0.00163321,50,6,1498.727642,32.91539881,0.0122,0.199819869,2.034582604,1.209493671
S50,0.002446301,0.957871165,1045.5042,0.07120927,0.00163321,50,6,1500.032799,32.95439457,0.0122,0.199807919,2.023307961,1.023417722
S50,0.002449383,0.958726836,1045.5042,0.07120927,0.00163321,50,6,1503.264102,33.0548852,0.0124,0.199579653,2.025826924,1.05443038
S50,0.00245262,0.959809363,1045.5042,0.07120927,0.00163321,50,6,1506.950727,33.17336422,0.0122,0.201188796,2.013036975,1.178481013
S50,0.002453099,0.95684088,1045.5042,0.07120927,0.00163321,50,6,1502.583623,32.97492796,0.0122,0.202719693,2.03287125,1.209493671
S100,0.002444498,0.964562499,1045.5042,0.07120927,0.00163321,100,6,1509.39832,33.39179132,0.012,0.196521046,2.019725426,1.05443038
S100,0.002432607,0.970911639,1045.5042,0.07120927,0.00163321,100,6,1511.942824,33.66825112,0.0122,0.194589216,2.039797618,1.240506329
S100,0.002443015,0.963274022,1045.5042,0.07120927,0.00163321,100,6,1506.467393,33.28243302,0.012,0.198521973,2.036185006,1.05443038
S100,0.002446461,0.963174943,1045.5042,0.07120927,0.00163321,100,6,1508.437317,33.32252681,0.0122,0.196691729,2.03838733,1.209493671
S100,0.002436912,0.961713747,1045.5042,0.07120927,0.00163321,100,6,1500.270042,33.09182686,0.0122,0.19542784,2.036193882,1.178481013
S200,0.002472353,0.944294061,1045.4432,0.07118932,0.00162653,200,6,1500.569315,32.37505944,0.0128,0.196054651,2.012022796,1.147468354
S200,0.002470014,0.94546969,1045.4432,0.07118932,0.00162653,200,6,1501.016113,32.42501754,0.0124,0.203166584,2.023972604,1.116455696
S200,0.002476787,0.944296451,1045.4432,0.07118932,0.00162653,200,6,1503.264295,32.43328621,0.0122,0.206984137,2.013429352,1.147468354
S200,0.002476668,0.941647829,1045.4432,0.07118932,0.00162653,200,6,1498.976024,32.25005434,0.0128,0.197361154,2.013525821,1.05443038
S200,0.002476866,0.944702735,1045.4432,0.07118932,0.00162653,200,6,1503.959108,32.46223787,0.0128,0.199891247,2.013365047,1.116455696
S400,0.002467474,0.936494535,1045.3818,0.07116923,0.001619878,400,6,1491.250574,31.78672514,0.0122,0.206098988,2.000918649,1.085443038
S400,0.002472868,0.942156592,1045.3818,0.07116923,0.001619878,400,6,1503.546179,32.24257938,0.012,0.206851287,2.006587247,1.085443038
S400,0.002471679,0.946137153,1045.3818,0.07116923,0.001619878,400,6,1509.172726,32.49997,0.0122,0.201279739,2.007552339,1.178481013
S400,0.002473462,0.934171059,1045.3818,0.07116923,0.001619878,400,6,1491.160627,31.70594866,0.0122,0.210945278,2.016135748,1.116455696
S400,0.002465687,0.94787548,1045.3818,0.07116923,0.001619878,400,6,1508.280008,32.54042186,0.0128,0.201223377,2.007400124,0.992405063
